Unnamed: 0,번호,질문,의도 카테고리,분류 클래스
11538,11532,보험 가입한게 뭐가있었죠?,보험 가입,0
11543,11537,오늘 까지 입금하면되나요?,보험금,3
11544,11538,태아 보험 가입하려고요,보험 가입,0
11547,11541,저는 특약보험 가입할 수 있죠?,보험 가입,0
11548,11542,아이가 언제까지 보장 받을 수 있나요?,보험 보장,7
11552,11546,자동차 보험 가입 할라고요,보험 가입,0
11556,11550,보험을 가입하고싶네요,보험 가입,0
11557,11551,다음 대면상품도 필요하십니까?,보험 내용,10
11559,11553,지금 일때문에 OO시에 있는데 거기는요?,보험금,3
11562,11556,만기 환급금이 있습니까?,보험 환급,1
11563,11557,기간은 어떻게 되나요?,보험 기간,6
11565,11559,새차를 사서 보험가입하려고요,보험 가입,0
11566,11560,무슨 서류가 필요해요?,보험 서류,14
11568,11562,어디 보험사에 가입하셨나요?,보험 가입,0
11569,11563,환급 되는 상품인가요?,보험 환급,1
11570,11564,환급금이 발생하면 계좌로 주나요?,보험 환급,1
11572,11566,암보험 가입 도와주세요,보험 가입,0
11578,11572,사망보험금이 뭐에요?,보험금,3
11580,11574,그럼 사망보험금은 누가 받아요?,보험금,3
11584,11578,"그럼 계약자가 수익자, 피보험자가 될 수 도 있는거네요?",보험 계약,13
11585,11579,수익자가 미지정된 계약은 뭐죠?,보험 계약,13
11588,11582,IRP(개인형퇴직연금제도)가 뭔가요?,보험금,3
11589,11583,개인연금제라는건 노후자금으로 사용할 수있어요?,보험금,3
11590,11584,그럼 수령방법은요?,보험 수령,12
11591,11585,직장을 그만두거나 옮길 경우에는 퇴직금을 IRP로 받아야 한다고요?,보험금,3
11592,11586,그럼 IRP를 해지하여 일시금으로 받을지 연금으로 받을지 할 수 있어요?,보험금,3
11593,11587,연금 받다가 중도 해지 가능한가요?,보험금,3
11594,11588,확정연금이면 되요?,보험금,3
11595,11589,그럼 종신연금을 수령하는 경우는 해지가 되요?,보험금,3
11596,11590,확정연금은 연금 수령 중 해지로 잔액 인출 할 수 있다고요?,보험금,3
11597,11591,종신연금은 왜안되요?,보험금,3
11600,11594,여기서 주요 서류는 무엇인가요?,보험 서류,14
11609,11603,건강이 좋지 않아도 가입 할 수 있습니까?,보험 가입,0
11612,11606,순수보장형은 무엇입니까?,보험 보장,7
11615,11609,계약자는 자녀가 되는겁니까?,보험 계약,13
11616,11610,연금보험을 넣는 나이에 따라금액이 다릅니까?,보험금,3
11617,11611,같은 금액을 납부해도 다르다는 말입니까?,보험금,3
11619,11613,연금을 받는 나이는 몇 살 입니까?,보험금,3
11621,11615,매월 같은 금액을 내야합니까?,보험금,3
11622,11616,추가납입이 무엇입니까?,보험 납부,16
11623,11617,추가납입 하면 좋은 점이 있습니까?,보험 납부,16
11624,11618,25살인데 실비 가입하고싶습니다,보험 가입,0
11626,11620,갱신 되는 상품입니까?,보험 내용,10
11627,11621,자동으로 갱신 됩니까?,보험 갱신,11
11632,11626,자동차보험 가입할라고요,보험 가입,0
11635,11629,오토바이 보험 가입 하려고요,보험 가입,0
11637,11631,사촌동생 보험 가입해 주려구요,보험 가입,0
11642,11636,보상내용이 어떻게 되나요,보험 보장,7
11645,11639,그럼 그걸로 가입하도록 하죠 언제 방문할까요?,보험 가입,0
11646,11640,필요서류는 있나요?,보험 서류,14
11647,11641,수고하십니다 보험을 가입하려고 하는데 처음이라 잘 모르겠네요.,보험 가입,0
11648,11642,보통 어떤 목적을 두고 가입하죠?,보험 가입,0
11649,11643,보장이 어떻게 되죠?,보험 보장,7
11651,11645,월 납입금은 얼마나 되죠?,보험금,3
11653,11647,수고하십니다. 보험 가입을 하고 싶어서요.,보험 가입,0
11654,11648,계약 내용은 어떻게 되죠?,보험 내용,10
11656,11650,중간에 추가 납입도 할 수있나요?,보험 납부,16
11657,11651,금리는 어떻게 되죠?,보험금,3
11658,11652,예금자 보호도 되나요?,보험금,3
11659,11653,보험을 들려고 생각중인데 몇가지 궁금하거 물어봐도 될까요?,보험금,3
11660,11654,보험은 해약은 언제부터 가능한거죠?,보험 해지,4
11661,11655,해지가 안되는 상품이 있다고 하던데요?,보험 해지,4
11662,11656,그럼 제가 해지 신청하면 환급금이 바로 나오나요?,보험 환급,1
11663,11657,해지 신청날 바로 지급되는거에요?,보험 해지,4
11664,11658,환급금은 그동안 냈던 보험료가 같나요?,보험 환급,1
11666,11660,수고하십니다 암보험 궁금한게 있어서요.,보험금,3
11667,11661,필요한 서류가 있어요?,보험 서류,14
11668,11662,어떤 서류가 있어야 하죠?,보험 서류,14
11672,11666,가입방법 알고 싶어요.,보험 가입,0
11673,11667,그냥 가입만 하면 되나요?,보험 가입,0
11675,11669,가입시 필요한 서류 같은것이 있나요?,보험 가입,0
11677,11671,가입하면서 보내는 거죠?,보험 가입,0
11678,11672,수고하십니다. 남편이 외국인데요 보험가입 가능할까요?,보험 가입,0
11679,11673,어떻게 가입하죠?,보험 가입,0
11680,11674,수고하십니다. 자동차 보험 가입 좀 알아보려구요,보험 가입,0
11682,11676,보장기한은 어떻게 되죠?,보험 보장,7
11683,11677,가입하면 바로 보험 적용이 되는 건가요?,보험 가입,0
11685,11679,보장내용을 다르게 적용할수 있나요?,보험 보장,7
11686,11680,갱신은 두대 같이하는 거죠?,보험 갱신,11
11687,11681,수고하십니다. 암보험 가입려구요.,보험 가입,0
11688,11682,그런데 갱신형 비갱신형 이야기가 있던데 뭐죠?,보험 갱신,11
11689,11683,비갱신형은요?,보험 갱신,11
11690,11684,그럼 갱신형은 갱신시 보험료가 오르거나 내리는 건가요?,보험 갱신,11
11691,11685,보험 문의하고 싶은데요,보험 문의,15
11692,11686,실비 가입시 만기환급이랑 순수 보장이 뭔가요?,보험 가입,0
11693,11687,순수 보장형은요?,보험 보장,7
11694,11688,"참, 그리고, 실손보험을 2개가입하면 두배로 보장받을 수 있을까요?",보험 가입,0
11695,11689,실비보험가입할때 중요한 사항이 뭔가요?,보험 가입,0
11698,11692,60살인데 보험가입려고요,보험 가입,0
11703,11697,태아보험 가입하려는데 궁금한점이 있어요,보험 가입,0
11704,11698,태아보험기간에 30세 만기와 100세만기의 큰 차이점이 뭔가요?,보험 만기,2
11705,11699,30세 만기가 싼데 왜 100세 만기를 가입하나요?,보험 가입,0
11706,11700,30세 만기의 장점이 뭔가요?,보험 만기,2
11708,11702,30세 만기전환시 보장금액을 유지할 수 있나요?,보험 만기,2
11709,11703,특약설정은 계약자가 언제든 변경할 수 있죠?,보험 계약,13
11710,11704,네 가입하고 싶은데 oo지점 연락처좀 알려주세요.,보험 가입,0
11714,11708,선천질병 다 보상해주나요?,보험 보장,7
11715,11709,이 보험은 생명보험에 따로 가입해야하나요?,보험 가입,0
11717,11711,당뇨가 걸렸을때 보장해주는 건가요? ,보험 보장,7
11718,11712,병원에서 당뇨라고 얘기하면 보험금을 지급해주나요?,보험금,3
11720,11714,당뇨 진단후 진단금 받으면 보험이 끝나나요? ,보험금,3
11722,11716,그럼 당뇨보험 가입후 당뇨에 걸리지 않으면 어떻게하나요? ,보험 가입,0
11726,11720,부모가 없는 아이는 어떻게 보험에 가입 하나요?,보험 가입,0
11728,11722,지금 현재 외할머니와 함께 살고 있는데요?,보험금,3
11735,11729,저희 외할머니가 저의 계약관계자가되는 건가요?,특별 약관,5
11736,11730,얼마전 아파트에 불이 난 것을 봤었는데 불이 났을때 보상 받을 수 있는 보험이 있나요?,보험 보장,7
11737,11731,건물 관리비에 단체화재보험이 있던데 별도 가입이 필요할까요?,보험 가입,0
11738,11732,우리집 뿐 아니라 다른 집의 피해도 보장해 준다는 건가요?,보험 보장,7
11739,11733,화재때 건물의 보상만 가능한가요?,보험 보장,7
11740,11734,고의로 불을 낸것도 아닌데 화재벌금도 있나요? ,보험금,3
11741,11735,그럼 화재시 집안의 재산은 보장이 안되나요?,보험 보장,7
11743,11737,그런데 전 세입자인데 굳이 화재보험을 가입해야 하나요? 집주인이 해야 하는거 아닌가? ,보험 가입,0
11744,11738,그럼 화재보험은 화재시에만 보장을 받는건가요? ,보험 보장,7
11745,11739,그렇구나 그럼 인터넷으로도 가입이 가능한가요? ,보험 가입,0
11747,11741,여행자 보험은 보장이 다 같나요?,보험 보장,7
11748,11742,어떤 보장이 있나요?,보험 보장,7
11749,11743,국내에서 치료받는 의료비도 보장이 된다고요? ,보험 보장,7
11750,11744,여행사에서 보험에 대해 들었지만 그런 내용은 없었는데요.,보험 내용,10
11751,11745,다시 알아보니 확실히 부족한 것 같아 따로 가입하려 합니다.,보험 가입,0
11752,11746,인터넷으로 가입하고 싶어요. 어떻게 하나요? ,보험 가입,0
11753,11747,엄마가 유방암으로 투병중입니다. 암보험에 가입될까요?,보험 가입,0
11754,11748,네. 유방암을 보장해주는 보험이 있나요? ,보험 보장,7
11759,11753,암보험을 가입할때 모든 암에 대해 가입해야 하나요? ,보험 가입,0
11760,11754,진단비 외에 보장내용이 있나요? ,보험 보장,7
11761,11755,암보험을 들고 암을 진단받으면 바로 진단금을 받을 수 있나요? ,보험금,3
11765,11759,건물화재보험을 1억으로 가입하면 1억 다 받을 수 있나요? ,보험 가입,0
11767,11761,제가 아닌 종업원이 음식을 나르다 손님과 부딪혀도 보상 가능한가요? ,보험 보장,7
11768,11762,그럼 나중에 만기환급금을 받을 수 있나요?,보험 환급,1
11769,11763,"어, 만기에 돌려받을 수 있다고 들었는데요. ",보험 만기,2
11770,11764,제가 고혈압으로 약을 먹는 중입니다. 건강 보험을 가입할 수 있나요? ,보험 가입,0
11773,11767,급성심근경색과 뇌졸중에 대한 보장이 있다는데 맞나요? ,보험 보장,7
11774,11768,강아지를 키우는 중인데 펫보험을 가입하는게 좋나요? ,보험 가입,0
11775,11769,펫보험은 어떤걸 보장해주나요? ,보험 보장,7
11776,11770,검사비도 보장이 되나요?,보험 보장,7
11777,11771,몇살까지 보장이 되나요? ,보험 보장,7
11778,11772,그럼 치료도중 보험이 만료되면 보상도 중지되나요? ,보험 해지,4
11779,11773,치과 치료도 보장이 되나요?,보험 보장,7
11780,11774,펫보험 내용을 어디서 볼 수 있나요? ,보험 내용,10
11781,11775,유기묘를 입양했는데 펫보험 가입이 가능할까요? ,보험 가입,0
11783,11777,고양이복막염은 보장이 잘 안된다는데 맞나요? ,보험 보장,7
11784,11778,한번 가입하면 계속 보장을 볼 수 있나요? ,보험 가입,0
11785,11779,갱신기간은 어떻게 되나요? ,보험 기간,6
11786,11780,고양이에게는 비뇨기계 질환이 치명적이라는데 그것도 보장되나요? ,보험 보장,7
11788,11782,민식이법 때문에 운전자보험을 다시 가입하려는데요?,보험 가입,0
11789,11783,어떤 보장이 달라졌나요? ,보험 보장,7
11790,11784,자동차부상치료비는 저도 가입되어 있는데요 ,보험 가입,0
11791,11785,벌금을 보장해주는 내용도 있다고 들었는데 맞나요? ,보험금,3
11792,11786,예전보다 보장금액이 커졌네요? ,보험금,3
11793,11787,그럼 지금 보험은 해지하고 새로 가입해야 하나요? ,보험 가입,0
11795,11789,ㅇㅇ화재에 추가 가입시 금액이 궁금합니다. ,보험 가입,0
11797,11791,생활자금을 받을 수 있는 상품은 없나요?,보험금,3
11798,11792,종신토록 보장이 되나요? ,보험 보장,7
11799,11793,가입하고 바로 치매에 걸리면 어떻게 하나요? ,보험 가입,0
11800,11794,제가 지금 40살인데 지금 가입할 수 있나요?,보험 가입,0
11801,11795,암 병력이 있어도 가입 가능한가요? ,보험 가입,0
11802,11796,생활자금은 초기치매부터 받을 수 있나요?,보험금,3
11803,11797,아버지께서 뇌경색으로 돌아가셨습니다. ㅇㅇ보험을 가입하고 계셨는데 2대질환이 있는데 왜 청구가 안되나요? ,보험 가입,0
11807,11801,특약은 갱신되는거 아닌가요? ,보험 갱신,11
11809,11803,그럼 치료비를 보장받는 내용도 있나요? ,보험 보장,7
11811,11805,이번에 임신을 했어요. 다들 태아보험을 가입해야 한다는데 태아보험이 뭔가요?,보험 가입,0
11814,11808,태아보험은 언제부터 가입이 되나요?,보험 가입,0
11815,11809,22주가 지나면 왜 가입이 안되나요? ,보험 가입,0
11816,11810,혹시 검사에서 이상소견이 있으면 가입할 수 있나요?,보험 가입,0
11817,11811,태아보험을 가입하고 나면 언제까지 보장을 받나요? ,보험 가입,0
11818,11812,태아보험도 환급이 되나요?  ,보험 환급,1
11819,11813,태아보험은 어떻게 가입하나요? ,보험 가입,0
11820,11814,인터넷을 찾아보니 태아보험을 가입하면 선물을 많이 받던데요,보험 가입,0
11825,11819,뇌혈관은 보장범위가 넓다는 의미인가요?,보험 보장,7
11827,11821,어머니께서 실비보험이 없어서 실비보험을 가입 할 수 있을까요?,보험 가입,0
11830,11824,가입 조건이 있나요?,보험 가입,0
11833,11827,추천해 주시는 보험사와 자세한 상담을 받고 싶은데 문의해도 될까요?,보험 문의,15
11834,11828,어린이보험은 몇 살까지 가입할 수 있나요,보험 가입,0
11835,11829,18세 이상은 가입할 수 없나요?,보험 가입,0
11836,11830,어떤 어린이보험에 가입하는 게 좋을까요?,보험 가입,0
11840,11834,청소년기에 입원을 하게되면 보장을 못받나요?,보험 보장,7
11842,11836,순수보장형은 만기 환급이 없지요?,보험 환급,1
11843,11837,제가 실비보험이 있긴한데 암보장이 적은 거 같아 알아보고 싶어요.,보험 보장,7
11844,11838,암이 여러 종류가 있잖아요. 어떤 암에 어떤 보장이 있나요?,보험 보장,7
11845,11839,가입하는 게 어려운가요?,보험 가입,0
11846,11840,진단금을 조금 적게 잡아 보험료를 낮추고 싶은데 가능할까요?,보험금,3
11850,11844,보험가입하고 싶은데 추천해주세요.,보험 가입,0
11852,11846,차 사고로 다쳐도 보장 되나요?,보험 보장,7
11856,11850,단체로 가입도 되어있고 개인상해보험도 가입되어있으면 중복가능인가요?,보험 가입,0
11857,11851,50대 암보험 가입하고 싶어요?,보험 가입,0
11858,11852, 50대인데 암보험 가입 가능 한가요?,보험 가입,0
11864,11858,보험 가입 문의좀 드리려고 하는데요. ,보험 가입,0
11866,11860,보험 가입 관련 문의 드려도 될까요?,보험 가입,0
11868,11862,보험 담보 내용이 알고 싶어서요. ,보험 내용,10
11871,11865,보장은 보험 가입 후 바로 되는거에요?,보험 가입,0
11873,11867,가입은 여기서 전화로 할 수 있나요?,보험 가입,0
11880,11874,혹시 대리로 가입도 가능할까요?,보험 가입,0
11881,11875,그럼 서명만 받고 제가 가입할 수 있어요?,보험 가입,0
11883,11877,자동차보험 새로 가입해야할까요?,보험 가입,0
11884,11878,"아, 해지하려면 해지도 가능할까요?",보험 해지,4
11888,11882,상해보험이 없어서 가입하려고 하는데요. ,보험 가입,0
11891,11885,제가 자전거를 타는데 자전거사고도 보상되나요?,보험 보장,7
11897,11891,얼마 지급되는데요?,보험 수령,12
11898,11892,병원에 많이 다녔는데 가입에 문제는 없을까요?,보험 가입,0
11899,11893,치매보험 가입을 고려중인데요. ,보험 가입,0
11900,11894,이게 치매걸렸을 때만 보장을 받는건가요?,보험 보장,7
11901,11895,보장내역은 어떻게 되나요?,보험 보장,7
11902,11896,보장내역에 따라서 보험료도 달라지나요?,보험 보장,7
11907,11901,자동차 OO보험에 가입하고 싶어요. 통화로 가입을 할 수 있습니까?,보험 가입,0
11908,11902,자동차 OO보험에 가입을 하고 싶습니다. 통화 가입이 가능합니까?,보험 가입,0
11909,11903,자동차 OO보험을 가입하고 싶은데 전화 가입을 할 수 있나요?,보험 가입,0
11910,11904,자동차 보험을 가입을 하고 싶은데 통화로 가입을 할 수 있습니까?,보험 가입,0
11911,11905,차량 보험을 가입을 해야 하는데 전화로 가입 가능한가요?,보험 가입,0
11912,11906,자동차 보험에 가입해야 하는데 말씀입니다. 전화로 가입을 할 수 있나요?,보험 가입,0
11913,11907,자동차 보험에 가입을 해야 해요. 전화로 가입을 할 수 있습니까?,보험 가입,0
11914,11908,자동차 안심 OO보험에가입해야 하는데 말씀입니다. 전화 가입이 가능합니까?,보험 가입,0
11915,11909,자동차 OO보험을 가입을 하고 싶습니다. 전화로 가입 가능합니까?,보험 가입,0
11916,11910,자동차 보험에 가입을 하고 싶어요. 통화 가입 가능합니까?,보험 가입,0
11917,11911,자차 보험에 가입하고 싶은데요. 전화 가입이 가능합니까?,보험 가입,0
11918,11912,자동차 OO보험에 가입을 해야만 해요. 전화 가입이 가능한가요?,보험 가입,0
11919,11913,자동차 OO보험을 가입을 해야 합니다. 전화로 가입 가능합니까?,보험 가입,0
11920,11914,자동차 안심 OO보험을가입하고 싶은데 전화 가입을 할 수 있나요?,보험 가입,0
11921,11915,자동차 안심 OO보험에가입하고 싶은데 전화로 가입이 가능합니까?,보험 가입,0
11922,11916,자차 보험을 가입해야 하는데 말씀입니다. 전화로 가입을 할 수 있나요?,보험 가입,0
11923,11917,자동차 OO보험을 가입을 하고 싶습니다. 통화 가입이 가능한가요?,보험 가입,0
11924,11918,자동차 안심 OO보험을가입을 하고 싶어요. 전화 가입이 가능한가요?,보험 가입,0
11925,11919,차량 보험에 가입하고 싶은데 통화로 가입 가능한가요?,보험 가입,0
11926,11920,차량 보험을 가입을 해야 하는데 전화로 가입을 할 수 있습니까?,보험 가입,0
11927,11921,차량 보험에 가입해야 하는데 말씀입니다. 전화 가입이 가능합니까?,보험 가입,0
11928,11922,자동차 OO보험에 가입하고 싶습니다. 전화 가입이 가능한가요?,보험 가입,0
11929,11923,자차 보험을 가입을 해야 합니다. 전화로 가입을 할 수 있나요?,보험 가입,0
11930,11924,자동차 보험을 가입하고 싶습니다. 전화 가입을 할 수 있습니까?,보험 가입,0
11931,11925,자동차 안심 OO보험에가입을 하고 싶은데 통화로 가입을 할 수 있습니까?,보험 가입,0
11932,11926,자동차 안심 OO보험을가입을 해야 하는데 전화 가입 가능합니까?,보험 가입,0
11933,11927,자동차 보험을 가입하고 싶은데 전화로 가입 가능한가요?,보험 가입,0
11934,11928,자동차 OO보험을 가입을 해야만 합니다. 전화 가입이 가능합니까?,보험 가입,0
11935,11929,차량 보험에 가입하고 싶은데요. 전화 가입을 할 수 있나요?,보험 가입,0
11936,11930,차량 보험을 가입하고 싶습니다. 전화로 가입이 가능한가요?,보험 가입,0
11937,11931,자동차 보험에 가입하고 싶습니다. 전화로 가입을 할 수 있나요?,보험 가입,0
11938,11932,자동차 보험을 가입을 해야 하는데 통화로 가입 가능합니까?,보험 가입,0
11939,11933,차량 보험에 가입하고 싶은데요. 통화로 가입이 가능한가요?,보험 가입,0
11940,11934,자동차 보험을 가입을 해야 해요. 전화로 가입 가능한가요?,보험 가입,0
11941,11935,안녕하세요. 문의사항 있어서 연락드렸습니다. ,보험 문의,15
11942,11936,실비보험 가입시 해외체류기간은 환급이 가능하나요?,보험 가입,0
11943,11937,증빙서류는 어떤게 있나요?,보험 서류,14
11945,11939,환급액은 얼마나되는지 알수있나요?,보험 환급,1
11947,11941,1년전에 치료 끝났는데 가입되는거죠?,보험 가입,0
11948,11942,보통 치료1년후 가입할수 있는건가요?,보험 가입,0
11952,11946,치아보험 보장은 어디까지 해주나요?,보험 보장,7
11954,11948,산재보험 가입에 대해서 문의드립니다.,보험 가입,0
11958,11952,산재보험 가입은 의무인가요?,보험 가입,0
11959,11953,직원이 밖에서 다친 것도 보상해주나요?,보험 보장,7
11961,11955,근로자가 1명뿐인 소규모 사업장에서도 반드시 가입해야 하나요?,보험 가입,0
11962,11956,개인사업자도 가입해야 하나요?,보험 가입,0
11963,11957,산재보험이 보상하는 범위는 어디까지인가요?,보험 보장,7
11964,11958,에어컨 설치기사입니다. 저도 산재보험에 가입할 수 있나요?,보험 가입,0
11974,11968,종신보험에 가입하기 전에 몇가지 궁금한 게 있는데요.,보험 가입,0
11978,11972,혹시 납부기간을 조정할 수 있을까요?,보험 기간,6
11979,11973,납부기간을 짧게 하면 단점이 있을까요?,보험 기간,6
11981,11975,종신보험은 사망해야만 보상금을 받는 건가요?,보험금,3
11982,11976,아 그래요? 건강 관련 특약을 넣으면 그 특약도 죽을때까지 보장받는 건가요?,보험 보장,7
11983,11977,가장이 아닌 경우 종신보험에 가입하는 것은 별로일까요?,보험 가입,0
11984,11978,어떤 경우에 가장이 아닌데 가입하죠?,보험 가입,0
11985,11979,주부가 종신보험에 가입하면 어떤 점이 좋을까요?,보험 가입,0
11986,11980,아 그렇군요. 아직 학생인 자녀들도 종신보험에 가입할 수 있나요?,보험 가입,0
11987,11981,임신 출산에 대한 내용을 종신보험에 특약으로 넣을 수 있나요?,보험 내용,10
11988,11982,제왕절개도 보장이 되나요?,보험 보장,7
11990,11984,사망보험금 외에 다른 특약들은 보통 몇세까지 보장해주나요?,보험금,3
11993,11987,알바도 산재보험에 가입해야 하나요?,보험 가입,0
11994,11988,일용근로자로 가입하는 건가요?,보험 가입,0
11996,11990,만약 단시간 근로자를 고용보험에 가입시키지 않으면 어떻게 되나요?,보험 가입,0
11998,11992,60시간을 넘으면 일용직으로 가입하게 되나요?,보험 가입,0
12000,11994,단시간 근로자는 다른 4대보험에 모두 가입해야 하나요?,보험 가입,0
12001,11995,"그럼 국민연금이랑 건강보험, 고용보험은 가입하지 않아도 되나요?",보험 가입,0
12002,11996,단시간 근로자의 국민연금과 고용보험은 어떻게 되죠?,보험금,3
12003,11997,65살인데 실비 가입려고요,보험 가입,0
12006,12000,갱신 되는 상품인가요?,보험 내용,10
12012,12006,보험 가입하려면 어디로 전화하면되죠?,보험 가입,0
12015,12009,자동갱신형은 뭐가 좋나요?,보험 갱신,11
12016,12010,태아 보장부분도 다른가요?,보험 보장,7
12017,12011,비갱신형은요?,보험 갱신,11
12018,12012,납입기간 동안 보험료는 동일한거죠?,보험 기간,6
12027,12021,필요한 서류가 있나요?,보험 서류,14
12029,12023,저번에 환급 받았는데 이번에도 되나요?,보험 환급,1
12030,12024,환급금이 발생하면 어떻게 주나요?,보험 환급,1
12032,12026,암보험 가입할려고요,보험 가입,0
12037,12031,4대암 보장 특약만 넣으면 얼마인가요?,보험 보장,7
12040,12034,치아보험 가입하려구요,보험 가입,0
12045,12039,오토바이 보험을 가입문의 드려요,보험 가입,0
12048,12042,보험을 가입 문의 합니다,보험 가입,0
12050,12044,지금 일때문에 OO시에 있는데 거기로도 가능한가요?,보험금,3
12053,12047,어떤 상품인가요?,보험 내용,10
12055,12049,사망보험금은 얼마인가요?,보험금,3
12061,12055,고양이도 보험 가입 할 수있나요?,보험 가입,0
12063,12057,46살인데 실비 가입 하고 싶어요,보험 가입,0
12064,12058,늦게 가입해도 괜찮나요?,보험 가입,0
12065,12059,보장은 어떤가요?,보험 보장,7
12066,12060,갱신 되는 상품이죠?,보험 내용,10
12067,12061,자동으로 갱신되는 상품인가요?,보험 내용,10
12072,12066,65살인데 실비 가입려고요,보험 가입,0
12075,12069,갱신 되는 상품인가요?,보험 내용,10
12081,12075,보험 가입하려면 어디로 전화하면되죠?,보험 가입,0
12084,12078,자동갱신형은 뭐가 좋나요?,보험 갱신,11
12085,12079,태아 보장부분도 다른가요?,보험 보장,7
12086,12080,비갱신형은요?,보험 갱신,11
12087,12081,납입기간 동안 보험료는 동일한거죠?,보험 기간,6
12096,12090,필요한 서류가 있나요?,보험 서류,14
12098,12092,저번에 환급 받았는데 이번에도 되나요?,보험 환급,1
12099,12093,환급금이 발생하면 어떻게 주나요?,보험 환급,1
12101,12095,암보험 가입할려고요,보험 가입,0
12106,12100,4대암 보장 특약만 넣으면 얼마인가요?,보험 보장,7
12109,12103,치아보험 가입하려구요,보험 가입,0
12114,12108,오토바이 보험을 가입문의 드려요,보험 가입,0
12117,12111,보험을 가입 문의 합니다,보험 가입,0
12119,12113,지금 일때문에 OO시에 있는데 거기로도 가능한가요?,보험금,3
12122,12116,어떤 상품인가요?,보험 내용,10
12124,12118,사망보험금은 얼마인가요?,보험금,3
12130,12124,고양이도 보험 가입 할 수있나요?,보험 가입,0
12132,12126,46살인데 실비 가입 하고 싶어요,보험 가입,0
12133,12127,늦게 가입해도 괜찮나요?,보험 가입,0
12134,12128,보장은 어떤가요?,보험 보장,7
12135,12129,갱신 되는 상품이죠?,보험 내용,10
12136,12130,자동으로 갱신되는 상품인가요?,보험 내용,10
12141,12135,오토바이로 출퇴근 하려고 하는데 보험가입이 될까요.,보험 가입,0
12142,12136,보험료 금액도 궁금하네요.,보험금,3
12143,12137,제가 가입하면 좋을 그러니까 보험금액이 싼 보험사가 어디일까요.,보험 가입,0
12144,12138,더 저렴하게 가입할만 한데는 없을까요.,보험 가입,0
12145,12139,지금 가입하고 싶은데 가능한가요.,보험 가입,0
12146,12140,민식이법 때문에 운전자보험을 다시 가입하려는데요?,보험 가입,0
12147,12141,어떤 보장이 달라졌나요? ,보험 보장,7
12148,12142,자동차부상치료비는 저도 가입되어 있는데요 ,보험 가입,0
12149,12143,벌금을 보장해주는 내용도 있다고 들었는데 맞나요? ,보험금,3
12150,12144,예전보다 보장금액이 커졌네요? ,보험금,3
12151,12145,그럼 지금 보험은 해지하고 새로 가입해야 하나요? ,보험 가입,0
12153,12147,ㅇㅇ화재에 추가 가입시 금액이 궁금합니다. ,보험 가입,0
12154,12148,"종신보험 가입하여하는데, 어떻게 해야하나요?",보험 가입,0
12157,12151,자살이나 그런거로는 보장 못 받죠?,보험 보장,7
12158,12152,혹시 보장 못받는 게 또 있나요?,보험 보장,7
12161,12155,점점 갱신이 되죠? 보험금도?,보험금,3
12162,12156,반려묘 보험 가입하려고하는데요.,보험 가입,0
12169,12163,저번에 가입한다고 하고 안했나?,보험 가입,0
12170,12164,상해는 내가 입는 경우만 보장가능한가요?,보험 보장,7
12173,12167,"네, 가입은 인터넷으로 가능해요?",보험 가입,0
12174,12168,보험 가입하려하는데요,보험 가입,0
12177,12171,자동 대출납입제도요?,보험 납부,16
12179,12173,최대금액이 얼만데요?,보험금,3
12180,12174,"가입하려가는데, 조금 걱정되는 부분이 있어서요",보험 가입,0
12182,12176,"저는 OOO상품을 보고있는데, 이것도 적용되요?",보험 내용,10
12188,12182,그 기간동안 더 내는거군요?,보험 기간,6
12189,12183,"무배당 실손 보험 들려고 하는데, 가입 조건이 있나요?",보험 가입,0
12190,12184,"혹시, 아기도 가입가능한가요?",보험 가입,0
12192,12186,태아부터 가입을 하는 이유가 있나요?,보험 가입,0
12193,12187,"5년형 종신갱신형이면, 5년마다 금액이 갱신되는건가요?",보험금,3
12194,12188,실손은 갱신형밖에 없죠?,보험 갱신,11
12195,12189,얼마전 아파트에 불이 난 것을 봤었는데 불이 났을때 보상 받을 수 있는 보험이 있나요?,보험 보장,7
12196,12190,건물 관리비에 단체화재보험이 있던데 별도 가입이 필요할까요?,보험 가입,0
12197,12191,우리집 뿐 아니라 다른 집의 피해도 보장해 준다는 건가요?,보험 보장,7
12198,12192,화재때 건물의 보상만 가능한가요?,보험 보장,7
12199,12193,고의로 불을 낸것도 아닌데 화재벌금도 있나요? ,보험금,3
12200,12194,그럼 화재시 집안의 재산은 보장이 안되나요?,보험 보장,7
12202,12196,그런데 전 세입자인데 굳이 화재보험을 가입해야 하나요? 집주인이 해야 하는거 아닌가? ,보험 가입,0
12203,12197,그럼 화재보험은 화재시에만 보장을 받는건가요? ,보험 보장,7
12204,12198,그렇구나 그럼 인터넷으로도 가입이 가능한가요? ,보험 가입,0
12206,12200,여행자 보험은 보장이 다 같나요?,보험 보장,7
12207,12201,어떤 보장이 있나요?,보험 보장,7
12208,12202,국내에서 치료받는 의료비도 보장이 된다고요? ,보험 보장,7
12209,12203,여행사에서 보험에 대해 들었지만 그런 내용은 없었는데요.,보험 내용,10
12210,12204,다시 알아보니 확실히 부족한 것 같아 따로 가입하려 합니다.,보험 가입,0
12211,12205,인터넷으로 가입하고 싶어요. 어떻게 하나요? ,보험 가입,0
12212,12206,엄마가 유방암으로 투병중입니다. 암보험에 가입될까요?,보험 가입,0
12213,12207,네. 유방암을 보장해주는 보험이 있나요? ,보험 보장,7
